Data,Título,Empresa,Link,Classificação PMP,Ranking Salarial
2026-05-13,Octus: Product Specialist,Não especificado,https://weworkremotely.com/remote-jobs/octus-product-specialist,PMP desejável,€€€€
2026-05-13,xAI: Finance Expert - Portfolio Management,Não especificado,https://weworkremotely.com/remote-jobs/xai-finance-expert-portfolio-management,PMP desejável,€€€€
2026-05-13,Elite Software Automation: Business Analyst,Não especificado,https://weworkremotely.com/remote-jobs/elite-software-automation-business-analyst-2,PMP desejável,€€€€
2026-05-13,Spiralyze: Project Manager,Não especificado,https://weworkremotely.com/remote-jobs/spiralyze-project-manager,PMP desejável,€€€€
2026-05-13,New Law Business Model: Marketing Automation SaaS + Services Line of Business Owner,Não especificado,https://weworkremotely.com/remote-jobs/new-law-business-model-marketing-automation-saas-services-line-of-business-owner,PMP desejável,€€€€
