Data,Título,Empresa,Link,Classificação PMP,Ranking Salarial
2026-05-18,"Affirm: Senior Product Manager, Card Experience",Não especificado,https://weworkremotely.com/remote-jobs/affirm-senior-product-manager-card-experience,PMP desejável,€€€€
2026-05-18,"Wealthsimple: Senior Analytics Developer, Brokerage & Ledger Product Data Science",Não especificado,https://weworkremotely.com/remote-jobs/wealthsimple-senior-analytics-developer-brokerage-ledger-product-data-science,PMP desejável,€€€€
2026-05-18,Octus: Product Specialist,Não especificado,https://weworkremotely.com/remote-jobs/octus-product-specialist,PMP desejável,€€€€
2026-05-18,Elite Software Automation: Business Analyst,Não especificado,https://weworkremotely.com/remote-jobs/elite-software-automation-business-analyst-2,PMP desejável,€€€€
2026-05-18,Spiralyze: Project Manager,Não especificado,https://weworkremotely.com/remote-jobs/spiralyze-project-manager,PMP desejável,€€€€
2026-05-18,New Law Business Model: Marketing Automation SaaS + Services Line of Business Owner,Não especificado,https://weworkremotely.com/remote-jobs/new-law-business-model-marketing-automation-saas-services-line-of-business-owner,PMP desejável,€€€€
