Data,Título,Empresa,Link,Classificação PMP,Ranking Salarial
2026-04-07,"Accelerate Change: Development Operations Support Contractor (Freelance, Remote)",Não especificado,https://weworkremotely.com/remote-jobs/accelerate-change-development-operations-support-contractor-freelance-remote,PMP desejável,€€€€
2026-04-07,Cora: Analista de Modelagem de Crédito Sênior,Não especificado,https://weworkremotely.com/remote-jobs/cora-analista-de-modelagem-de-credito-senior,PMP desejável,€€€€
2026-04-07,Qive: Analista Funcional Sap Sr,Não especificado,https://weworkremotely.com/remote-jobs/qive-analista-funcional-sap-sr,PMP desejável,€€€€
2026-04-07,Qive: Analista De Sustentação Pleno,Não especificado,https://weworkremotely.com/remote-jobs/qive-analista-de-sustentacao-pleno,PMP desejável,€€€€
2026-04-07,Q2 Software: Financial Analyst,Não especificado,https://weworkremotely.com/remote-jobs/q2-software-financial-analyst,PMP desejável,€€€€
2026-04-07,Elite Software Automation: Business Analyst,Não especificado,https://weworkremotely.com/remote-jobs/elite-software-automation-business-analyst-2,PMP desejável,€€€€
2026-04-07,Spiralyze: Project Manager,Não especificado,https://weworkremotely.com/remote-jobs/spiralyze-project-manager,PMP desejável,€€€€
2026-04-07,New Law Business Model: Marketing Automation SaaS + Services Line of Business Owner,Não especificado,https://weworkremotely.com/remote-jobs/new-law-business-model-marketing-automation-saas-services-line-of-business-owner,PMP desejável,€€€€
