Data,Título,Empresa,Link,Classificação PMP,Ranking Salarial
2026-04-22,xAI: Finance Expert - Portfolio Management,Não especificado,https://weworkremotely.com/remote-jobs/xai-finance-expert-portfolio-management,PMP desejável,€€€€
2026-04-22,Red Ventures: Director of Product Management | Bankrate,Não especificado,https://weworkremotely.com/remote-jobs/red-ventures-director-of-product-management-bankrate,PMP desejável,€€€€
2026-04-22,Branch International: Product Designer - Growth,Não especificado,https://weworkremotely.com/remote-jobs/branch-international-product-designer-growth,PMP desejável,€€€€
2026-04-22,Crypto.Com: Product Marketing Manager (Exchange Product),Não especificado,https://weworkremotely.com/remote-jobs/crypto-com-product-marketing-manager-exchange-product,PMP desejável,€€€€
2026-04-22,"Affirm: Senior Product Manager, Financial Reporting",Não especificado,https://weworkremotely.com/remote-jobs/affirm-senior-product-manager-financial-reporting,PMP desejável,€€€€
2026-04-22,"Accelerate Change: Development Operations Support Contractor (Freelance, Remote)",Não especificado,https://weworkremotely.com/remote-jobs/accelerate-change-development-operations-support-contractor-freelance-remote,PMP desejável,€€€€
2026-04-22,Cora: Analista de Modelagem de Crédito Sênior,Não especificado,https://weworkremotely.com/remote-jobs/cora-analista-de-modelagem-de-credito-senior,PMP desejável,€€€€
2026-04-22,Qive: Analista Funcional Sap Sr,Não especificado,https://weworkremotely.com/remote-jobs/qive-analista-funcional-sap-sr,PMP desejável,€€€€
2026-04-22,Qive: Analista De Sustentação Pleno,Não especificado,https://weworkremotely.com/remote-jobs/qive-analista-de-sustentacao-pleno,PMP desejável,€€€€
2026-04-22,Q2 Software: Financial Analyst,Não especificado,https://weworkremotely.com/remote-jobs/q2-software-financial-analyst,PMP desejável,€€€€
2026-04-22,Elite Software Automation: Business Analyst,Não especificado,https://weworkremotely.com/remote-jobs/elite-software-automation-business-analyst-2,PMP desejável,€€€€
2026-04-22,Spiralyze: Project Manager,Não especificado,https://weworkremotely.com/remote-jobs/spiralyze-project-manager,PMP desejável,€€€€
2026-04-22,New Law Business Model: Marketing Automation SaaS + Services Line of Business Owner,Não especificado,https://weworkremotely.com/remote-jobs/new-law-business-model-marketing-automation-saas-services-line-of-business-owner,PMP desejável,€€€€
