Data,Título,Empresa,Link,Classificação PMP,Ranking Salarial
2026-04-03,Cora: Analista de Modelagem de Crédito Sênior,Não especificado,https://weworkremotely.com/remote-jobs/cora-analista-de-modelagem-de-credito-senior,PMP desejável,€€€€
2026-04-03,Qive: Analista Funcional Sap Sr,Não especificado,https://weworkremotely.com/remote-jobs/qive-analista-funcional-sap-sr,PMP desejável,€€€€
2026-04-03,Qive: Analista De Sustentação Pleno,Não especificado,https://weworkremotely.com/remote-jobs/qive-analista-de-sustentacao-pleno,PMP desejável,€€€€
2026-04-03,Q2 Software: Financial Analyst,Não especificado,https://weworkremotely.com/remote-jobs/q2-software-financial-analyst,PMP desejável,€€€€
2026-04-03,Elite Software Automation: Business Analyst,Não especificado,https://weworkremotely.com/remote-jobs/elite-software-automation-business-analyst-2,PMP desejável,€€€€
2026-04-03,Goat Group: Metadata Curation Specialist - Footwear Product (Contractor),Não especificado,https://weworkremotely.com/remote-jobs/goat-group-metadata-curation-specialist-footwear-product-contractor,PMP desejável,€€€€
2026-04-03,Montclair Chef: Operations Manager,Não especificado,https://weworkremotely.com/remote-jobs/montclair-chef-operations-manager,PMP desejável,€€€€
2026-04-03,Spiralyze: Project Manager,Não especificado,https://weworkremotely.com/remote-jobs/spiralyze-project-manager,PMP desejável,€€€€
2026-04-03,New Law Business Model: Marketing Automation SaaS + Services Line of Business Owner,Não especificado,https://weworkremotely.com/remote-jobs/new-law-business-model-marketing-automation-saas-services-line-of-business-owner,PMP desejável,€€€€
