Data,Título,Empresa,Link,Classificação PMP,Ranking Salarial
2026-04-01,Elite Software Automation: Business Analyst,Não especificado,https://weworkremotely.com/remote-jobs/elite-software-automation-business-analyst-2,PMP desejável,€€€€
2026-04-01,EverAI: Accounts Payable & Finance Operations Specialist (Full Remote - Europe),Não especificado,https://weworkremotely.com/remote-jobs/everai-accounts-payable-finance-operations-specialist-full-remote-europe,PMP desejável,€€€€
2026-04-01,Goat Group: Metadata Curation Specialist - Footwear Product (Contractor),Não especificado,https://weworkremotely.com/remote-jobs/goat-group-metadata-curation-specialist-footwear-product-contractor,PMP desejável,€€€€
2026-04-01,Montclair Chef: Operations Manager,Não especificado,https://weworkremotely.com/remote-jobs/montclair-chef-operations-manager,PMP desejável,€€€€
2026-04-01,Spiralyze: Project Manager,Não especificado,https://weworkremotely.com/remote-jobs/spiralyze-project-manager,PMP desejável,€€€€
2026-04-01,New Law Business Model: Marketing Automation SaaS + Services Line of Business Owner,Não especificado,https://weworkremotely.com/remote-jobs/new-law-business-model-marketing-automation-saas-services-line-of-business-owner,PMP desejável,€€€€
