Data,Título,Empresa,Link,Classificação PMP,Ranking Salarial
2026-06-01,Qive: Analista Funcional Sap Sênior,Não especificado,https://weworkremotely.com/remote-jobs/qive-analista-funcional-sap-senior,PMP desejável,€€€€
2026-06-01,Qive: Analista De Operações Sênior (Faturamento),Não especificado,https://weworkremotely.com/remote-jobs/qive-analista-de-operacoes-senior-faturamento,PMP desejável,€€€€
2026-06-01,OneSource Virtual: Garnishment Specialist I,Não especificado,https://weworkremotely.com/remote-jobs/onesource-virtual-garnishment-specialist-i,PMP desejável,€€€€
2026-06-01,Lula Commerce: Senior Financial Analyst,Não especificado,https://weworkremotely.com/remote-jobs/lula-commerce-senior-financial-analyst,PMP desejável,€€€€
2026-06-01,Conta Azul: [Banco de Talentos] Pessoas com deficiência,Não especificado,https://weworkremotely.com/remote-jobs/conta-azul-banco-de-talentos-pessoas-com-deficiencia,PMP desejável,€€€€
2026-06-01,EY: Operations Manager (Germany),Não especificado,https://weworkremotely.com/remote-jobs/ey-operations-manager-germany,PMP desejável,€€€€
2026-06-01,"Cohesity: Senior Manager, Finance Strategy & Planning",Não especificado,https://weworkremotely.com/remote-jobs/cohesity-senior-manager-finance-strategy-planning,PMP desejável,€€€€
2026-06-01,"Affirm: Senior Product Manager, Card Experience",Não especificado,https://weworkremotely.com/remote-jobs/affirm-senior-product-manager-card-experience,PMP desejável,€€€€
2026-06-01,"Wealthsimple: Senior Analytics Developer, Brokerage & Ledger Product Data Science",Não especificado,https://weworkremotely.com/remote-jobs/wealthsimple-senior-analytics-developer-brokerage-ledger-product-data-science,PMP desejável,€€€€
2026-06-01,Elite Software Automation: Business Analyst,Não especificado,https://weworkremotely.com/remote-jobs/elite-software-automation-business-analyst-2,PMP desejável,€€€€
2026-06-01,Spiralyze: Project Manager,Não especificado,https://weworkremotely.com/remote-jobs/spiralyze-project-manager,PMP desejável,€€€€
2026-06-01,New Law Business Model: Marketing Automation SaaS + Services Line of Business Owner,Não especificado,https://weworkremotely.com/remote-jobs/new-law-business-model-marketing-automation-saas-services-line-of-business-owner,PMP desejável,€€€€
