Data,Título,Empresa,Link,Classificação PMP,Ranking Salarial
2026-04-02,Elite Software Automation: Business Analyst,Não especificado,https://weworkremotely.com/remote-jobs/elite-software-automation-business-analyst-2,PMP desejável,€€€€
2026-04-02,Goat Group: Metadata Curation Specialist - Footwear Product (Contractor),Não especificado,https://weworkremotely.com/remote-jobs/goat-group-metadata-curation-specialist-footwear-product-contractor,PMP desejável,€€€€
2026-04-02,Montclair Chef: Operations Manager,Não especificado,https://weworkremotely.com/remote-jobs/montclair-chef-operations-manager,PMP desejável,€€€€
2026-04-02,Spiralyze: Project Manager,Não especificado,https://weworkremotely.com/remote-jobs/spiralyze-project-manager,PMP desejável,€€€€
2026-04-02,New Law Business Model: Marketing Automation SaaS + Services Line of Business Owner,Não especificado,https://weworkremotely.com/remote-jobs/new-law-business-model-marketing-automation-saas-services-line-of-business-owner,PMP desejável,€€€€
